time	V(vout)	V(vout2)
4.616279191509068e-04	1.000000e+00	1.001072e+00
4.628137450437639e-04	1.000000e+00	1.001214e+00
4.639995709366210e-04	1.000000e+00	1.001344e+00
4.651853968294782e-04	1.000000e+00	1.001463e+00
4.663712227223354e-04	1.000000e+00	1.001570e+00
4.678360664723354e-04	1.000000e+00	1.001685e+00
4.690218923651925e-04	1.000000e+00	1.001764e+00
4.702077182580497e-04	1.000000e+00	1.001832e+00
4.713935441509068e-04	1.000000e+00	1.001888e+00
4.725793700437639e-04	1.000000e+00	1.001932e+00
4.737651959366211e-04	1.000000e+00	1.001965e+00
4.749510218294782e-04	1.000000e+00	1.001987e+00
4.761368477223354e-04	1.000000e+00	1.001997e+00
4.778109548651925e-04	1.000000e+00	1.001990e+00
4.794850620080497e-04	1.000000e+00	1.001967e+00
4.811591691509068e-04	1.000000e+00	1.001927e+00
4.828332762937639e-04	1.000000e+00	1.001872e+00
4.845073834366211e-04	1.000000e+00	1.001800e+00
4.861814905794782e-04	1.000000e+00	1.001712e+00
4.878555977223354e-04	1.000000e+00	1.001607e+00
4.893204414723353e-04	1.000000e+00	1.001507e+00
4.907852852223351e-04	1.000000e+00	1.001403e+00
4.922501289723349e-04	1.000000e+00	1.001295e+00
4.937149727223348e-04	1.000000e+00	1.001183e+00
4.951798164723346e-04	1.000000e+00	1.001066e+00
4.966446602223345e-04	1.000000e+00	1.000945e+00
4.981095039723343e-04	1.000000e+00	1.000819e+00
4.995743477223341e-04	1.000000e+00	1.000696e+00
5.000000000000000e-04	1.000000e+00	1.000660e+00
